rrc14	1280	1280,6939,47065,61574,47065
rrc00	13830	13830,29802,6939,47065,61574,47065
rrc00	6881	6881,15685,6939,47065,61574,47065
rrc19	57695	57695,328383,327782,4809,4809,4809,37662,6939,47065,61574,47065
rrc06	25152	25152,6939,47065,61574,47065
rrc00	20205	20205,6939,47065,61574,47065
rrc00	64271	64271,131477,6939,47065,61574,47065
rrc00	11708	11708,32097,6939,47065,61574,47065
route-views4	1351	1351,6939,47065,61574,47065
route-views.sydney	4739	4739,7545,6939,47065,61574,47065
rrc20	51873	51873,6939,47065,61574,47065
rrc00	26073	26073,6939,47065,61574,47065
route-views.sg	18106	18106,6939,47065,61574,47065
route-views2	18106	18106,6939,47065,61574,47065
rrc23	18106	18106,6939,47065,61574,47065
route-views4	36236	36236,47065,61574,47065
rrc00	4608	4608,24130,7545,6939,47065,61574,47065
route-views2	23673	23673,55329,4788,6939,47065,61574,47065
route-views2	6939	6939,47065,61574,47065
route-views.kixp	6939	6939,47065,61574,47065
route-views.isc	6939	6939,47065,61574,47065
route-views.telxatl	6939	6939,47065,61574,47065
route-views.sydney	4826	4826,6939,47065,61574,47065
route-views2	293	293,6939,47065,61574,47065
rrc16	393950	393950,6939,47065,61574,47065
route-views.telxatl	27446	27446,27446,6939,47065,61574,47065
route-views4	38726	38726,6939,47065,61574,47065
route-views4	38883	38883,6939,47065,61574,47065
rrc00	32097	32097,6939,47065,61574,47065
route-views2	53767	53767,47065,61574,47065
rrc19	37239	37239,6939,47065,61574,47065
rrc00	395152	395152,63297,6939,47065,61574,47065
rrc21	204355	204355,6939,47065,61574,47065
rrc03	30132	30132,6939,47065,61574,47065
route-views.telxatl	15008	15008,40805,6939,47065,61574,47065
route-views2	54728	54728,20130,6939,47065,61574,47065
rrc20	202194	202194,6939,6939,47065,61574,47065
rrc00	49134	49134,53356,6939,47065,61574,47065
rrc20	59891	59891,51395,6939,47065,61574,47065
